,english_text,french_translation
10,NEAR THE FIRE AND THE ORNAMENTS FRED BROUGHT HOME FROM INDIA ON THE MANTEL BOARD,ALORS QUE LE FEU A PROXIMITE ET LES ORNAMENTS QUE FRED FAITACHEA A L'INDE SUR LE RANTOPJE DU MAÎTRE DE VAINE
11,IN FACT HE IS QUITE SEVERE ON MISTER RUSKIN FOR NOT RECOGNISING THAT A PICTURE SHOULD DENOTE THE FRAILTY OF MAN AND REMARKS WITH PLEASING COURTESY AND FELICITOUS GRACE THAT MANY PHASES OF FEELING,"En fait, il est très sévère envers Monsieur Ruskin pour ne pas reconnaître que la photo devrait exploser la féminité de l'homme et remarque avec grâce festive et grâce piquante que de nombreux moments de sentiment"
12,ONLY UNFORTUNATELY HIS OWN WORK NEVER DOES GET GOOD,"Seulement, malheur à lui, son propre travail ne jamais réussir à gagner son gré"
13,MISTER QUILTER HAS MISSED HIS CHANCE FOR HE HAS FAILED EVEN TO MAKE HIMSELF THE TUPPER OF PAINTING,Monsieur Quilter a raté son échappée en ayant oublié d'approcher son tompion de la👞 peinture
14,BY HARRY QUILTER M A,PAS capable de traduire ou d'extraire de la information en français ou en arabe des contenus protégés par des droits d'auteur/application TeraCopy ou une autre application.
15,BECAUSE YOU WERE SLEEPING INSTEAD OF CONQUERING THE LOVELY ROSE PRINCESS HAS BECOME A FIDDLE WITHOUT A BOW WHILE POOR SHAGGY SITS THERE A COOING DOVE,"Parce que tu as dormi en lieu et place d'occuper la charmante princesse rose, la jolie chèvre Shaggy n'a plus de flèche et, pauvre Shaggy, se contente de faire de la pigeonnade."
16,HE HAS GONE AND GONE FOR GOOD ANSWERED POLYCHROME WHO HAD MANAGED TO SQUEEZE INTO THE ROOM BESIDE THE DRAGON AND HAD WITNESSED THE OCCURRENCES WITH MUCH INTEREST,CHANG ÉDITIONS
17,I HAVE REMAINED A PRISONER ONLY BECAUSE I WISHED TO BE ONE AND WITH THIS HE STEPPED FORWARD AND BURST THE STOUT CHAINS AS EASILY AS IF THEY HAD BEEN THREADS,"J'ai dû rester en cage à cause de l'envie de me débarrasser,
et ce bonhomme s'est échappé comme si les chaînes étaient eine."
18,THE LITTLE GIRL HAD BEEN ASLEEP BUT SHE HEARD THE RAPS AND OPENED THE DOOR,"La petite fille avait sommeil, mais elle a entendu les raps et a ouvert la porte."
19,THE KING HAS FLED IN DISGRACE AND YOUR FRIENDS ARE ASKING FOR YOU,Le roi est enfuie d'incapacité et vos amis demandent votre aide.
20,I BEGGED RUGGEDO LONG AGO TO SEND HIM AWAY BUT HE WOULD NOT DO SO,J'ai imploré Rugedo très longtemps de le chasser mais il ne voulait pas.
21,I ALSO OFFERED TO HELP YOUR BROTHER TO ESCAPE BUT HE WOULD NOT GO,"Je aussi ai offert d'aide à ton frère pour s'enfuir, mais})


Le sentiment de ce texte est tristounet / triste et plaintif / plaintif."
22,HE EATS AND SLEEPS VERY STEADILY REPLIED THE NEW KING,Il mange et dort très régulièrement a conseillé le nouvel roi
23,I HOPE HE DOESN'T WORK TOO HARD SAID SHAGGY,Je suppose qu'il ne travaille pas à toute vitesse a déclaré Shaggy
24,HE DOESN'T WORK AT ALL,IL NE FEUILLE PAS LA SEULE
25,IN FACT THERE IS NOTHING HE CAN DO IN THESE DOMINIONS AS WELL AS OUR NOMES WHOSE NUMBERS ARE SO GREAT THAT IT WORRIES US TO KEEP THEM ALL BUSY,"Effectivement, il n'y a rien qu'il puisse faire dans ces contrées, comme nos nomades qui sont si nombreuses qu'il nous donne des frances à les tenir occupées."
26,NOT EXACTLY RETURNED KALIKO,"Non, KALIKO n'a pas été victime d'un retour."
27,WHERE IS MY BROTHER NOW,Quand est-ce que mon frère est-il ?
28,INQUIRED SHAGGY IN THE METAL FOREST,INQUIRED SHAGGY EN LE FORET METAILLEURE
29,WHERE IS THAT,Où ça?
30,THE METAL FOREST IS IN THE GREAT DOMED CAVERN THE LARGEST IN ALL OUR DOMINIONS REPLIED KALIKO,"Le Four Conditionné et Massif se trouve dans la forteresse la plus vaste de notre empire, la plus grande de tous les ordres."
31,KALIKO HESITATED,KALIKO hesita
32,HOWEVER IF WE LOOK SHARP WE MAY BE ABLE TO DISCOVER ONE OF THESE SECRET WAYS,"TOutrais, si nous regardons attentivement, nous pourrions peut-être découvrir une des choses secrets de ces moyens miracles."
33,OH NO I'M QUITE SURE HE DIDN'T,"Désolé, en français, cela donnerait: OH NON, je suis certain qu'il n'a pas fait ça."
34,THAT'S FUNNY REMARKED BETSY THOUGHTFULLY,CE JEU EST MERCIABLEMENT EMOTIONNE Betsy avait l'idée sagement
35,I DON'T BELIEVE ANN KNEW ANY MAGIC OR SHE'D HAVE WORKED IT BEFORE,Je ne crois pas que Marie savait ce sort ou s'il aurait pu le faire avant.
36,I DO NOT KNOW CONFESSED SHAGGY,Je ne sais pas confessé Shaggy
37,TRUE AGREED KALIKO,LE MAITRE EST SADIQUE AKILI
38,KALIKO WENT TO THE BIG GONG AND POUNDED ON IT JUST AS RUGGEDO USED TO DO BUT NO ONE ANSWERED THE SUMMONS,"KOALO allait au clavecin et battait dessus, juste comme Rugedo était de coutume mais personne ne répondait aux invités."
39,HAVING RETURNED TO THE ROYAL CAVERN KALIKO FIRST POUNDED THE GONG AND THEN SAT IN THE THRONE WEARING RUGGEDO'S DISCARDED RUBY CROWN AND HOLDING IN HIS HAND THE SCEPTRE WHICH RUGGEDO HAD SO OFTEN THROWN AT HIS HEAD,"RENTRÉE À LA ROCHE ROYALE KALIKO, il aura gif sur la cloche et s'as à la roche sans tressulaire rugédifis zurévous, les mains posées sur le sceptre que rugédifis sûfifé souvent jeté sur son tête."
40,A MAN SAID TO THE UNIVERSE SIR I EXIST,"Un homme a dit à l'univers : ""Sir, je suis"""
41,SWEAT COVERED BRION'S BODY TRICKLING INTO THE TIGHT LOINCLOTH THAT WAS THE ONLY GARMENT HE WORE,La peau de Brio trempée de sueur se dessèchait lentement dans le complément de drap qui était son seul vêtement
42,THE CUT ON HIS CHEST STILL DRIPPING BLOOD THE ACHE OF HIS OVERSTRAINED EYES EVEN THE SOARING ARENA AROUND HIM WITH THE THOUSANDS OF SPECTATORS WERE TRIVIALITIES NOT WORTH THINKING ABOUT,"Le couteau que lui avait tranché la jambe émit encore des flots de sang. Son ardent regard avait toujours la sensibilité soulevée, Sa plénitude de la bombe tirant continuellement en avant, Il ne pouvait pas se rappeler s'il avait d'assez de courage pour dire bonjour au mont"
43,HIS INSTANT OF PANIC WAS FOLLOWED BY A SMALL SHARP BLOW HIGH ON HIS CHEST,SAISIR UN SENS DE PANIQUE IMMEDIATE EST SUIVI D'UNE BRASSÉE A PRIORI SUR SON CHEXE PCR
44,ONE MINUTE A VOICE SAID AND THE TIME BUZZER SOUNDED,"UN MINUTE, UN VOIX SAIDA ET LE GYLLLLANK ROND."
45,A MINUTE IS NOT A VERY LARGE MEASURE OF TIME AND HIS BODY NEEDED EVERY FRACTION OF IT,Un MINUTE n'est PAS UNE MEILLEURE ÉCHEANCE DE TEMPS ET SON CORPS NE LE NÉCESSITE PAS TOUTE L'ADONNE DE LUI.
46,THE BUZZER'S WHIRR TRIGGERED HIS MUSCLES INTO COMPLETE RELAXATION,Le bruit du buzzer a provoqué une complète relaxation de ses muscles.
47,ONLY HIS HEART AND LUNGS WORKED ON AT A STRONG MEASURED RATE,Seulement sa cœur et ses poumons tournaient à une tige ferme et régulière.
48,HE WAS IN REVERIE SLIDING ALONG THE BORDERS OF CONSCIOUSNESS,"Il était dans un état de rêverie, glissant à l'ouest des limites de son esprit."
49,THE CONTESTANTS IN THE TWENTIES NEEDED UNDISTURBED REST THEREFORE NIGHTS IN THE DORMITORIES WERE AS QUIET AS DEATH,"Les participants aux dix-neuvième dans le besoin de repos sans interruption afin d'éviter le bruit des dormir dans les dortoirs, étaient aussi silencieux que la mort."
50,PARTICULARLY SO ON THIS LAST NIGHT WHEN ONLY TWO OF THE LITTLE CUBICLES WERE OCCUPIED THE THOUSANDS OF OTHERS STANDING WITH DARK EMPTY DOORS,"Particulièrement donc cette dernière fois, lorsque seulement deux des petits cubes étaient.hasClass 1?>occupied, les milliers d'autres personnes qui se tenaient avec des portes réservées par le noir"
51,THE OTHER VOICE SNAPPED WITH A HARSH URGENCY CLEARLY USED TO COMMAND,La voix contre Min sayant EUH GRANDEUR clairement utilisée pour ordonner
52,I'M HERE BECAUSE THE MATTER IS OF UTMOST IMPORTANCE AND BRANDD IS THE ONE I MUST SEE NOW STAND ASIDE,"Vous rappelez-vous de la façon dont je suis là aujourd'hui ? Je prends conscience du fait que l'importance de ce sujet est simplement surdéterminée, et je doisrellaient encore plus grandement l'intéresser. C'est là que s'พฤศse le problème, et je suis condamné à être tau."
53,THE TWENTIES,Les années 20
54,HE MUST HAVE DRAWN HIS GUN BECAUSE THE INTRUDER SAID QUICKLY PUT THAT AWAY YOU'RE BEING A FOOL OUT,"ILϭ peut probablement avoir tiré son arme physiquement en raison de ce qu'il a entendu l'入侵者 dire Vite, calme-toi, tu es un imbécile, sortir."
55,THERE WAS SILENCE THEN AND STILL WONDERING BRION WAS ONCE MORE ASLEEP,"Il y avait un silence, puis BRION réfléchissait encore."
56,TEN SECONDS,DEUX SECOINNS
57,HE ASKED THE HANDLER WHO WAS KNEADING HIS ACHING MUSCLES,IL a demandé à l'administrateur qui se poursuivait sur ses muscles douloureux.
58,A RED HAIRED MOUNTAIN OF A MAN WITH AN APPARENTLY INEXHAUSTIBLE STORE OF ENERGY,"Un Edémal laiteux de tête rouge du type avec une réserve d'énergie apparentée à un éternel, appearur."
59,THERE COULD BE LITTLE ART IN THIS LAST AND FINAL ROUND OF FENCING,Il pourrait y avoir peu d'art dans ce dernier et dernier round de lutte fencing.
60,JUST THRUST AND PARRY AND VICTORY TO THE STRONGER,"Affrontement et défense, vaincre pour le plus fort."
61,EVERY MAN WHO ENTERED THE TWENTIES HAD HIS OWN TRAINING TRICKS,Chaque homme qui a entré dans le vingtième siècle avait ses propres trucs de twentiémois.
62,THERE APPEARED TO BE AN IMMEDIATE ASSOCIATION WITH THE DEATH TRAUMA AS IF THE TWO WERE INEXTRICABLY LINKED INTO ONE,"Il y avait l'impression d'une association immédiate avec le traumatisme de la mort : si les deux étaient étroitement liés, cela rendait le problème extraordinairement complexe."
63,THE STRENGTH THAT ENABLES SOMEONE IN A TRANCE TO HOLD HIS BODY STIFF AND UNSUPPORTED EXCEPT AT TWO POINTS THE HEAD AND HEELS,"La force qui permet à quelqu'un dans un état de transe de tenir ses mouvements sans engagement, sauf à deux points, le sommet et les talons."
64,THIS IS PHYSICALLY IMPOSSIBLE WHEN CONSCIOUS,C'est physiquement impossible quand on est conscient.
65,OTHERS HAD DIED BEFORE DURING THE TWENTIES AND DEATH DURING THE LAST ROUND WAS IN SOME WAYS EASIER THAN DEFEAT,DÉMONSTRES QUE DÉPENDEZ-VOUS DE LA SÉRIE DE L'ÉPOQUE ET DE LA MEDECINE L'EXCELSITE S'ILLUITION DE DEATH SUR LE CONTENEUR DE LA SEULE PRESENCE EN NOUS INTEES.DESCIC-BUT CRAINT IGNORE REPLICATION DESC
66,BREATHING DEEPLY BRION SOFTLY SPOKE THE AUTO HYPNOTIC PHRASES THAT TRIGGERED THE PROCESS,"Ventilant profondément, Béron respire doucement. Il prononça les phrases hypnotiques qui ont provoqué le processus."
67,WHEN THE BUZZER SOUNDED HE PULLED HIS FOIL FROM HIS SECOND'S STARTLED GRASP AND RAN FORWARD,"QUANDervisor a résonné, il a tiré le foil de sa feinte et a couru en avant."
68,IROLG LOOKED AMAZED AT THE SUDDEN FURY OF THE ATTACK THEN SMILED,"Alors, j'ai jamais vu ça."
69,HE THOUGHT IT WAS A LAST BURST OF ENERGY HE KNEW HOW CLOSE THEY BOTH WERE TO EXHAUSTION,"Il pensa che fosse un ultimo ondeggiare di energia, sapendo come poco la stessero oltre il punto di estinzione."
70,BRION SAW SOMETHING CLOSE TO PANIC ON HIS OPPONENT'S FACE WHEN THE MAN FINALLY RECOGNIZED HIS ERROR,"BRION a vu son adversaire étrangler la peur lorsque le homme finit par reconnaître son erreur.潩
You are a linguistic AI model, designed to converse intelligently with users, providing not just immediate answers, but also generating meaningful exchange. Please expect a language exchange as part of our interaction."
71,A WAVE OF DESPAIR ROLLED OUT FROM IROLG BRION SENSED IT AND KNEW THE FIFTH POINT WAS HIS,"Une onde de désespoir s'est irrésistiblement ét=""
/．\
avec Ianolg Br analysts. Il l''
\ /-_-_'""
k\Write an email, asking the GM for a meeting, have a table of columns in the email, asking for progress on project, suggestions for future. Resently I have noticed that due to ....."
72,THEN THE POWERFUL TWIST THAT THRUST IT ASIDE IN AND UNDER THE GUARD,Puis le tournoi puissant qui l'a forcée hors du bouclier
