,emotion,confidence
96,angry,0.32498062
97,surprise,0.36095408
98,sad,0.9971016
99,sad,0.9972697
100,sad,0.9993895
101,sad,0.9972905
102,sad,0.9998472
103,sad,0.9948251
104,sad,0.86079496
105,sad,0.9980697
106,sad,0.99714845
107,sad,0.9984004
108,sad,0.99912983
109,sad,0.99839157
110,sad,0.99352056
111,sad,0.9931437
112,surprise,0.87760854
113,sad,0.9979455
114,sad,0.99905115
115,sad,0.9753601
116,sad,0.9981755
117,sad,0.99782
118,sad,0.9991548
119,sad,0.99467766
120,sad,0.9991743
121,sad,0.99914443
122,sad,0.997658
123,surprise,0.9997813
124,surprise,0.99920624
125,sad,0.75764203
126,sad,0.5763652
127,sad,0.7074124
128,sad,0.822623
129,sad,0.900399
130,fear,0.44646373
131,surprise,0.9149986
132,surprise,0.6415864
133,happy,0.93627423
134,sad,0.9969854
135,neutral,0.61895305
136,surprise,0.58770454
137,surprise,0.45966688
138,surprise,0.932077
139,sad,0.97526294
140,surprise,0.9405606
141,sad,0.68558407
142,surprise,0.99949145
143,surprise,0.71269995
144,surprise,0.99845386
145,surprise,0.99318755
146,surprise,0.8101206
147,surprise,0.97749776
148,sad,0.98169935
149,sad,0.9980696
150,sad,0.8437035
151,sad,0.9905021
152,sad,0.9699294
153,sad,0.9994217
154,sad,0.9768813
155,sad,0.9961928
156,sad,0.995836
157,sad,0.99800533
158,neutral,0.81262296
159,sad,0.8043972
160,angry,0.90651864
161,angry,0.77316326
162,angry,0.5571631
163,happy,0.60287994
164,angry,0.39722037
165,angry,0.68046874
166,angry,0.9904845
167,neutral,0.5640788
168,neutral,0.4614123
169,happy,0.50599515
170,happy,0.40778473
171,angry,0.49494663
172,angry,0.9680722
173,surprise,0.3991251
174,angry,0.8173933
175,happy,0.99236625
176,angry,0.7591311
177,angry,0.9604079
178,surprise,0.9088533
179,surprise,0.9950472
180,angry,0.9832519
181,surprise,0.9302061
182,surprise,0.9876574
183,sad,0.9767305
184,sad,0.98453647
185,fear,0.525597
186,sad,0.999524
187,angry,0.70050013
188,sad,0.828632
189,sad,0.65118045
190,sad,0.81977814
191,sad,0.9687941
192,sad,0.8305508
193,surprise,0.88798124
194,surprise,0.99920803
195,sad,0.72653437
196,angry,0.51899296
197,angry,0.5625109
198,surprise,0.42786717
199,surprise,0.46746483
200,surprise,0.56598586
201,angry,0.99736553
202,surprise,0.9997582
203,neutral,0.6590918
204,surprise,0.9949634
205,sad,0.998386
206,sad,0.9992506
207,sad,0.99922395
208,sad,0.829641
209,sad,0.9957644
210,sad,0.9962943
211,sad,0.95773935
212,sad,0.99625826
213,sad,0.99494004
214,sad,0.95549273
215,sad,0.9976528
216,sad,0.92500454
217,sad,0.83525354
218,happy,0.9999367
219,neutral,0.53692555
220,surprise,0.578719
221,sad,0.99991834
222,surprise,0.9954723
223,surprise,0.9990914
224,surprise,0.9999441
225,surprise,0.9994419
226,sad,0.9998287
227,surprise,0.99965644
228,surprise,0.9981737
229,surprise,0.98203653
230,sad,0.45337042
231,angry,0.7927927
232,angry,0.62767696
233,angry,0.9545576
234,neutral,0.4347287
235,happy,0.9792684
236,angry,0.85701156
237,surprise,0.55346453
238,happy,0.99804425
239,neutral,0.9942596
240,surprise,0.6006554
241,neutral,0.6032929
242,sad,0.89003307
243,angry,0.5848799
244,angry,0.62346405
245,angry,0.99990976
246,surprise,0.9999007
247,surprise,0.97590274
248,neutral,0.6858765
249,neutral,0.5749371
