english_text,french_translation
THE CUT ON HIS CHEST STILL DRIPPING BLOOD THE ACHE OF HIS OVERSTRAINED EYES EVEN THE SOARING ARENA AROUND HIM WITH THE THOUSANDS OF SPECTATORS WERE TRIVIALITIES NOT WORTH THINKING ABOUT,"La coupure sur son cœur toujours en train de ruisseler de sang, l'âge d'or de l'arena en train de monter autour de lui, avec le millier d'acclimatés, qui étaient n'importe lequel, pas une moindre pensée."
HIS INSTANT OF PANIC WAS FOLLOWED BY A SMALL SHARP BLOW HIGH ON HIS CHEST,Un instant de panique suivi d'un coup sourd aurifère au sommet de son coude.
ONE MINUTE A VOICE SAID AND THE TIME BUZZER SOUNDED,UN MINUTE A VOIX CEMA LE CIEL S'ÉBAUVE
A MINUTE IS NOT A VERY LARGE MEASURE OF TIME AND HIS BODY NEEDED EVERY FRACTION OF IT,"Un MINUTÉ n'est PAS UNE MEILLE薄弱 EN THÔM, MAIS SON ŒIL N'É/yearDÈ QUE LA MOY EN PARTIE DE LÀ EN PORT."
THE BUZZER'S WHIRR TRIGGERED HIS MUSCLES INTO COMPLETE RELAXATION,Le cri du buzzer a libéré complètement ses muscles.
ONLY HIS HEART AND LUNGS WORKED ON AT A STRONG MEASURED RATE,Seulement son cœur et sa rate ont fonctionné à une vitesse et vitesse mesurées forte.
HE WAS IN REVERIE SLIDING ALONG THE BORDERS OF CONSCIOUSNESS,IL SITAIT PÊCHEURS SIOMÔU EN COUCOUÀ DES QUE
THE CONTESTANTS IN THE TWENTIES NEEDED UNDISTURBED REST THEREFORE NIGHTS IN THE DORMITORIES WERE AS QUIET AS DEATH,"Les contestataires de la deuxième partie ont nécessité une repos absolue, donc les nuits dans les dortoirs ont été aussi silencieuses que la mort."
PARTICULARLY SO ON THIS LAST NIGHT WHEN ONLY TWO OF THE LITTLE CUBICLES WERE OCCUPIED THE THOUSANDS OF OTHERS STANDING WITH DARK EMPTY DOORS,"PARTICULALEMENT CE SOIR POUR CETTE Nuit DEUX DIRES SOINS, TONS DEVOID D'ABSENCE, A PRETENDRE ERECTS DES PORTES DE MAUVAISE TONNEE."
THE OTHER VOICE SNAPPED WITH A HARSH URGENCY CLEARLY USED TO COMMAND,La voix contre-protestante siffla avec une urgence ferme et un ton de commande claire.
I'M HERE BECAUSE THE MATTER IS OF UTMOST IMPORTANCE AND BRANDD IS THE ONE I MUST SEE NOW STAND ASIDE,Je suis ici parce que l'affaire est de la plus haute importance et que c'est le brand que je dois visiter maintenant. Attendons.
THE TWENTIES,Les années 20
HE MUST HAVE DRAWN HIS GUN BECAUSE THE INTRUDER SAID QUICKLY PUT THAT AWAY YOU'RE BEING A FOOL OUT,Il doit avoir tiré son arme parce que l'intrus a dit rapidement retirez-vous dehors vous êtes fou
THERE WAS SILENCE THEN AND STILL WONDERING BRION WAS ONCE MORE ASLEEP,Il y avait silence et Brion était toujours endormi.
TEN SECONDS,Deux secondes
HE ASKED THE HANDLER WHO WAS KNEADING HIS ACHING MUSCLES,Il a demandé à l'interprète qui touchait ses muscles écrasés.
A RED HAIRED MOUNTAIN OF A MAN WITH AN APPARENTLY INEXHAUSTIBLE STORE OF ENERGY,Une montagne rouge originalement une personne robuste au point d'avoir l'impression d'avoir une réserve d'énergie illimitée
THERE COULD BE LITTLE ART IN THIS LAST AND FINAL ROUND OF FENCING,Il y a peu d'art dans ce dernier et dernier tour de lutte de fencers.
JUST THRUST AND PARRY AND VICTORY TO THE STRONGER,OUBLI LA CONTRADICTION ET CROIRE QUE LA VICTOIRE TIENT PAR ITINERESSE.
EVERY MAN WHO ENTERED THE TWENTIES HAD HIS OWN TRAINING TRICKS,TOUT HOMME ADAPE AU VINGT-SECONDES AVAIT SES propres FLEURS TRICKS
THERE APPEARED TO BE AN IMMEDIATE ASSOCIATION WITH THE DEATH TRAUMA AS IF THE TWO WERE INEXTRICABLY LINKED INTO ONE,"Il semblait y avoir une association immédiate avec la douleur décisive, comme si les deux étaient imbriqués l’un dans l'autre."
THE STRENGTH THAT ENABLES SOMEONE IN A TRANCE TO HOLD HIS BODY STIFF AND UNSUPPORTED EXCEPT AT TWO POINTS THE HEAD AND HEELS,LA FORCE ADMISEE A AVANTAGE ENSUEILLE LA MANIOLE DISPOSANT SES OS DÉFROCES ET L'AMATERACHE PENDANT UNE EXCEPTION MAÎTRISEDU COEUR OU DU DOIGT DE LA MAIN.
THIS IS PHYSICALLY IMPOSSIBLE WHEN CONSCIOUS,Ceci est physiquement impossible lorsqu'on est conscient.
OTHERS HAD DIED BEFORE DURING THE TWENTIES AND DEATH DURING THE LAST ROUND WAS IN SOME WAYS EASIER THAN DEFEAT,"D'autres avaient péri avant la Seconde Guerre mondiale, et la mort durant le dernier tour était certainement moins difficile que la défaite."
BREATHING DEEPLY BRION SOFTLY SPOKE THE AUTO HYPNOTIC PHRASES THAT TRIGGERED THE PROCESS,Le respiration profonde à voix douce a été prononcée par BRION de manière hypnotique.
WHEN THE BUZZER SOUNDED HE PULLED HIS FOIL FROM HIS SECOND'S STARTLED GRASP AND RAN FORWARD,"Lorsqu'il a sonné, il a tiré dans sa prise faiblement attrapée et a couru en avant."
IROLG LOOKED AMAZED AT THE SUDDEN FURY OF THE ATTACK THEN SMILED,"ISEYGLA ÉTUDIA IN GRAN DE SYNCHREE DES MORTS PENSIE, PAPIS."
HE THOUGHT IT WAS A LAST BURST OF ENERGY HE KNEW HOW CLOSE THEY BOTH WERE TO EXHAUSTION,Il savait pertinemment combien ils étaient près de l'épuisement.
BRION SAW SOMETHING CLOSE TO PANIC ON HIS OPPONENT'S FACE WHEN THE MAN FINALLY RECOGNIZED HIS ERROR,BRION a vu quelque chose qui ressemblait à du stress sur le visage de son不可能mani. Quand le homme finit par reconnaître sa propre erreur.
A WAVE OF DESPAIR ROLLED OUT FROM IROLG BRION SENSED IT AND KNEW THE FIFTH POINT WAS HIS,Une vague de désespoir s'est répandue de Irolg Brion et celle-ci l'avertit qu'il était l'unique point en vue de la cinquième.
THEN THE POWERFUL TWIST THAT THRUST IT ASIDE IN AND UNDER THE GUARD,Puis le puissant tournant qui le propulsait en arrière et sous le bouclier.
